society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
MM Skywalk,245.0,12140.0,3.0,3.0,3.0,25.0,South-West,Relatively New,3, Sector 74 Gurgaon,30.0,0,1,0,0,1614.0,1800.0,2018.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020181219
SS The Leaf,183.0,7610.0,3.0,4.0,3.0,9.0,North-East,Relatively New,3, Sector 85 Gurgaon,26.0,0,0,0,0,1875.0,1925.0,2408.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024047306
SS The Leaf,109.0,6661.0,2.0,2.0,3.0,5.0,North-East,Relatively New,2, Sector 85 Gurgaon,26.0,0,0,0,0,1350.0,1475.0,1640.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016363909
SS The Leaf,187.0,7780.0,3.0,4.0,3.0,7.0,North-East,Relatively New,3, Sector 85 Gurgaon,26.0,0,0,0,0,2175.0,2225.0,2408.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02403599
Experion Windchants,425.0,11294.0,3.0,5.0,2.0,15.0,South,Relatively New,3, Sector 112 Gurgaon,28.0,1,0,1,0,2800.0,3000.0,3763.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376306
Experion Windchants,531.0,11204.0,4.0,6.0,3.0,15.0,South,Relatively New,4, Sector 112 Gurgaon,28.0,1,0,1,0,3400.0,3573.33,4739.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047393788
Emaar Gurgaon Greens,140.0,8484.0,3.0,3.0,3.0,10.0,East,Relatively New,3, Sector 102 Gurgaon,14.0,1,0,0,0,1022.58,1300.0,1650.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,24,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01650165
Experion Windchants,280.0,11470.0,2.0,3.0,2.0,9.0,South-East,Relatively New,2, Sector 112 Gurgaon,28.0,1,1,0,0,1800.0,1939.03,2441.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,49,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024411508
Indiabulls Enigma,410.0,10567.0,5.0,5.0,2.0,10.0,East,Relatively New,5, Sector 110 Gurgaon,15.0,1,0,0,0,3000.0,3500.0,3880.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038800038
Indiabulls Enigma,340.0,10000.0,4.0,5.0,3.0,10.0,South-West,Relatively New,4, Sector 110 Gurgaon,21.0,1,0,0,0,2800.0,3000.0,3400.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034
