society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
Godrej Meridien,320,16000,3,3,3,6,,Under Construction,3, Sector 106 Gurgaon,24,1,0,0,0,2002,,,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
Mapsko Casa Bella,130,6378,4,4,3,1,North,Relatively New,4, Sector 82 Gurgaon,25,1,0,0,0,,,1960,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,53,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020382565
Pooja Apartment,25,3571,2,2,2,2,East,Relatively New,2, Ashok Vihar Phase 3 Extension,4,0,0,0,0,700,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.00700084
Signature Global Park,95,7846,3,2,3,1,,Relatively New,3, Sohna,4,0,0,0,0,756.6,1210.73,,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,22,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012108081
DLF New Town Heights ,199,7297,4,4,3,9,East,Relatively New,4, Sector 90 Gurgaon,29,1,0,1,0,2727,,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,53,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0.027271481
Paras Dews,105,7581,2,2,2,5,West,New Property,2, Sector 106 Gurgaon,8,0,0,0,0,1385,,,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,53,1,1,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.013850416
Godrej Air,183,10005,3,3,3,18,,Under Construction,3, Sector 85 Gurgaon,32,0,0,0,0,1829,,,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,48,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.018290855
DLF The Primus,225,10714,3,3,3,29,East,Relatively New,3, Sector 82A Gurgaon,31,1,0,0,0,2100,,,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,47,1,0,0,0,0,0,0,0,1,0,5,3,1,1,1,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0.02100056
Emaar MGF Emerald Floors Premier,280,16969,3,3,3,3,,Relatively New,3, Sector 65 Gurgaon,5,1,1,0,0,1650,,,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,27,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.016500678
DLF Regency Park ,160,14545,2,2,2,3,North,Relatively New,2, DLF Phase 4,26,0,0,0,0,1100,,,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,24,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011000344
Supertech Araville,83,5424,2,2,3,5,North-East,New Property,2, Sector 79 Gurgaon,18,0,1,0,0,1530,,,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0.01530236
Signature Global Park,83,7410,3,2,2,1,,New Property,3, Sohna,4,0,0,0,0,1120,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,9,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01120108
